year;title;studios;producers;winner
2000;Storm Of Truth;Starlight Studios;Bob Brown;
2000;Crystal Awakening;Sunset Pictures;Fiona Green;
2000;Iron Legacy;Nova Cinema;Dana White;
2000;Shadow Of Truth;Sunset Pictures;Bob Brown;
2000;Crystal Of Truth;Nova Cinema;Bob Brown;
2000;Rogue Destination;Moonlight Films;Charlie Gray;yes
2001;Iron Fate;Moonlight Films;Dana White;
2001;Silent Empire;Sunset Pictures;Gary Silver;
2001;Echo Fate;Starlight Studios;Charlie Gray;
2001;Echo Voyage;Starlight Studios;Alice Stone;yes
2001;Storm Fate;Sunset Pictures;Charlie Gray;
2002;Silent Empire;Sunset Pictures;Fiona Green;
2002;Rogue Legacy;Galaxy Entertainment;Alice Stone;
2002;Iron Empire;Nova Cinema;Gary Silver;
2002;Quantum Voyage;Sunset Pictures;Alice Stone;
2002;Crystal Odyssey;Moonlight Films;Bob Brown;yes
2003;Crystal Empire;Sunset Pictures;Gary Silver;
2003;Crystal Legacy;Galaxy Entertainment;Charlie Gray;
2003;Rogue Reckoning;Moonlight Films;Charlie Gray;
2003;Quantum Voyage;Starlight Studios;Fiona Green;
2003;Storm Awakening;Nova Cinema;Fiona Green;
2003;Storm Chronicle;Sunset Pictures;Bob Brown;yes
2004;Echo Horizon;Galaxy Entertainment;Charlie Gray;
2004;Iron Voyage;Starlight Studios;Gary Silver;yes
2005;Mystic Empire;Sunset Pictures;Bob Brown;
2005;Silent Reckoning;Moonlight Films;Fiona Green;
2005;Rogue Fate;Galaxy Entertainment;Bob Brown;
2005;Phantom Awakening;Moonlight Films;Fiona Green;
2005;Echo Odyssey;Galaxy Entertainment;Alice Stone;yes
2006;Iron Empire;Nova Cinema;Dana White;
2006;Silent Fate;Starlight Studios;Bob Brown;
2006;Echo Horizon;Sunset Pictures;Gary Silver;
2006;Shadow Legacy;Moonlight Films;Fiona Green;
2006;Echo Fate;Nova Cinema;Alice Stone;
2007;Mystic Horizon;Nova Cinema;Charlie Gray;
2007;Iron Of Truth;Sunset Pictures;Fiona Green;
2007;Iron Empire;Starlight Studios;Alice Stone;
2007;Phantom Fate;Moonlight Films;Dana White;
2008;Phantom Awakening;Nova Cinema;Alice Stone;
2008;Phantom Voyage;Moonlight Films;Charlie Gray;
2008;Echo Of Truth;Nova Cinema;Charlie Gray;
2008;Phantom Saga;Starlight Studios;Evan Black;yes
2009;Shadow Legacy;Starlight Studios;Gary Silver;
2009;Phantom Voyage;Sunset Pictures;Bob Brown;
2009;Silent Legacy;Sunset Pictures;Fiona Green;
2009;Rogue Legacy;Nova Cinema;Gary Silver;
2010;Echo Horizon;Nova Cinema;Bob Brown;
2010;Phantom Fate;Moonlight Films;Evan Black;
2010;Crystal Empire;Galaxy Entertainment;Fiona Green;
2010;Crystal Destination;Sunset Pictures;Dana White;yes
2011;Quantum Horizon;Nova Cinema;Dana White;
2011;Storm Voyage;Moonlight Films;Alice Stone;
2011;Quantum Of Truth;Nova Cinema;Evan Black;
2011;Crystal Voyage;Sunset Pictures;Alice Stone;
2011;Shadow Voyage;Sunset Pictures;Alice Stone;
2012;Storm Voyage;Starlight Studios;Fiona Green;
2012;Rogue Voyage;Nova Cinema;Bob Brown;
2012;Silent Horizon;Moonlight Films;Gary Silver;
2012;Rogue Fate;Moonlight Films;Alice Stone;
2012;Crystal Chronicle;Starlight Studios;Dana White;yes
2013;Mystic Reckoning;Galaxy Entertainment;Dana White;
2013;Rogue Of Truth;Sunset Pictures;Alice Stone;
2013;Mystic Reckoning;Sunset Pictures;Bob Brown;
2014;Crystal Horizon;Moonlight Films;Dana White;
2014;Echo Empire;Galaxy Entertainment;Bob Brown;
2014;Storm Horizon;Nova Cinema;Alice Stone;
2015;Iron Of Truth;Sunset Pictures;Gary Silver;
2015;Crystal Awakening;Galaxy Entertainment;Dana White;
2015;Rogue Voyage;Galaxy Entertainment;Alice Stone;
2015;Rogue Odyssey;Starlight Studios;Charlie Gray;yes
2016;Mystic Of Truth;Galaxy Entertainment;Charlie Gray;
2016;Rogue Empire;Galaxy Entertainment;Fiona Green;
2016;Iron Horizon;Moonlight Films;Bob Brown;
2017;Crystal Of Truth;Nova Cinema;Fiona Green;
2017;Iron Of Truth;Starlight Studios;Alice Stone;
2017;Shadow Horizon;Nova Cinema;Gary Silver;
2017;Iron Awakening;Sunset Pictures;Evan Black;
2018;Echo Legacy;Nova Cinema;Alice Stone;
2018;Crystal Fate;Sunset Pictures;Evan Black;
2018;Crystal Of Truth;Nova Cinema;Alice Stone;
2019;Silent Reckoning;Starlight Studios;Bob Brown;
2019;Quantum Voyage;Starlight Studios;Dana White;
2019;Echo Empire;Galaxy Entertainment;Charlie Gray;
2019;Storm Of Truth;Galaxy Entertainment;Evan Black;
2019;Iron Odyssey;Sunset Pictures;Gary Silver;yes
2020;Storm Legacy;Nova Cinema;Bob Brown;
2020;Iron Empire;Moonlight Films;Charlie Gray;
2020;Storm Voyage;Starlight Studios;Charlie Gray;
2020;Echo Horizon;Nova Cinema;Fiona Green;yes
