year;title;studios;producers;winner
2011;Radiant Whisper;Lighthouse Pictures;Morgan Walker and Cameron Davis and Parker Johnson;
2000;Last Frontier;Sunset Cinema;Quinn Brown and Rowan Baker;
2027;Hidden Destiny;Eclipse Entertainment;Quinn Clark and Avery Taylor;
2006;Celestial Fall;Nova Pictures;Cameron Taylor and Avery Scott and Alex Taylor;
2013;Distant Paradox;Silver Screen Productions;Dakota Allen and Riley King;
2028;Storm Legacy;Blue Horizon;Finley Clark and Taylor Wilson and Reese Wilson;
2004;Crimson Horizon;Sunset Cinema;Finley Brown and Dakota Hall;
2018;Infinite Fall;Titan Films;Jamie Jones and Alex Williams;
2007;Storm Echo;Titan Films;Emerson Wilson;
2003;Fallen Reckoning;Titan Films;Sydney Scott and Finley Clark and Dakota Baker;
2028;Last Whisper;Eclipse Entertainment;Casey Young and Dakota Anderson;
2026;Secret Echo;Titan Films;Jamie Anderson and Dakota Brown and Reese Wilson;
2010;Eternal Legacy;Nova Pictures;Jamie Walker;
2022;Infinite Legacy;Aurora Media;Rowan Scott and Dakota Hall;yes
2026;Celestial Fall;Lighthouse Pictures;Alex Green and Avery Young and Alex Lewis;
2012;Celestial Frontier;Eclipse Entertainment;Jamie Young and Jamie Anderson and Quinn Young;yes
2010;Ancient Journey;Titan Films;Finley Scott;yes
2012;Distant Labyrinth;Moonlight Films;Quinn Jones;
2005;Silent Chronicle;Aurora Media;Riley Allen and Rowan Clark;
2012;Secret Whisper;Blue Horizon;Skyler Smith;
2001;Epic Quest;Starlight Studios;Jordan Smith and Jamie Davis and Alex Baker;
2004;Broken Odyssey;Lighthouse Pictures;Dakota Anderson;
2005;Lonely Paradox;Starlight Studios;Reese Williams;
2029;Mystic Labyrinth;Aurora Media;Riley Brown and Cameron Wilson;
2024;Mystic Paradox;Starlight Studios;Jordan Lewis and Emerson Hall and Blake Brown;
2010;Crimson Whisper;Titan Films;Quinn Lewis;
2026;Fallen Reckoning;Aurora Media;Sydney Anderson;
2029;Eternal Miracle;Titan Films;Cameron Anderson and Rowan Wilson;
